RiskType	Bucket	Label1	Label2	Parameter
Calib_Equity_CorrOuter		2	11	0.22
Calib_Equity_CorrOuter		2	12	0.22
Calib_Equity_CorrOuter		3	1	0.18
Calib_Equity_CorrOuter		3	2	0.23
Calib_Equity_CorrOuter		3	4	0.24
Calib_Equity_CorrOuter		3	5	0.14
Calib_Equity_CorrOuter		3	6	0.19
Calib_Equity_CorrOuter		3	7	0.22
Calib_Equity_CorrOuter		3	8	0.19
Calib_Equity_CorrOuter		3	9	0.2
Calib_Equity_CorrOuter		3	10	0.15
Calib_Equity_CorrOuter		3	11	0.25
Calib_Equity_CorrOuter		3	12	0.25
Calib_Equity_CorrOuter		4	1	0.17
Calib_Equity_CorrOuter		4	2	0.21
Calib_Equity_CorrOuter		4	3	0.24
Calib_Equity_CorrOuter		4	5	0.14
Calib_Equity_CorrOuter		4	6	0.19
Calib_Equity_CorrOuter		4	7	0.2
Calib_Equity_CorrOuter		4	8	0.19
Calib_Equity_CorrOuter		4	9	0.2
Calib_Equity_CorrOuter		4	10	0.15
Calib_Equity_CorrOuter		4	11	0.24
Calib_Equity_CorrOuter		4	12	0.24
Calib_Equity_CorrOuter		5	1	0.11
Calib_Equity_CorrOuter		5	2	0.13
Calib_Equity_CorrOuter		5	3	0.14
Calib_Equity_CorrOuter		5	4	0.14
Calib_Equity_CorrOuter		5	6	0.22
Calib_Equity_CorrOuter		5	7	0.21
Calib_Equity_CorrOuter		5	8	0.22
Calib_Equity_CorrOuter		5	9	0.13
Calib_Equity_CorrOuter		5	10	0.16
Calib_Equity_CorrOuter		5	11	0.24
Calib_Equity_CorrOuter		5	12	0.24
Calib_Equity_CorrOuter		6	1	0.15
Calib_Equity_CorrOuter		6	2	0.17
Calib_Equity_CorrOuter		6	3	0.19
Calib_Equity_CorrOuter		6	4	0.19
Calib_Equity_CorrOuter		6	5	0.22
Calib_Equity_CorrOuter		6	7	0.29
Calib_Equity_CorrOuter		6	8	0.29
Calib_Equity_CorrOuter		6	9	0.17
Calib_Equity_CorrOuter		6	10	0.21
Calib_Equity_CorrOuter		6	11	0.32
Calib_Equity_CorrOuter		6	12	0.32
Calib_Equity_CorrOuter		7	1	0.15
Calib_Equity_CorrOuter		7	2	0.18
Calib_Equity_CorrOuter		7	3	0.22
Calib_Equity_CorrOuter		7	4	0.2
Calib_Equity_CorrOuter		7	5	0.21
Calib_Equity_CorrOuter		7	6	0.29
Calib_Equity_CorrOuter		7	8	0.28
Calib_Equity_CorrOuter		7	9	0.17
Calib_Equity_CorrOuter		7	10	0.21
Calib_Equity_CorrOuter		7	11	0.34
Calib_Equity_CorrOuter		7	12	0.34
Calib_Equity_CorrOuter		8	1	0.15
Calib_Equity_CorrOuter		8	2	0.17
Calib_Equity_CorrOuter		8	3	0.19
Calib_Equity_CorrOuter		8	4	0.19
Calib_Equity_CorrOuter		8	5	0.22
Calib_Equity_CorrOuter		8	6	0.29
Calib_Equity_CorrOuter		8	7	0.28
Calib_Equity_CorrOuter		8	9	0.17
Calib_Equity_CorrOuter		8	10	0.21
Calib_Equity_CorrOuter		8	11	0.33
Calib_Equity_CorrOuter		8	12	0.33
Calib_Equity_CorrOuter		9	1	0.15
Calib_Equity_CorrOuter		9	2	0.19
Calib_Equity_CorrOuter		9	3	0.2
Calib_Equity_CorrOuter		9	4	0.2
Calib_Equity_CorrOuter		9	5	0.13
Calib_Equity_CorrOuter		9	6	0.17
Calib_Equity_CorrOuter		9	7	0.17
Calib_Equity_CorrOuter		9	8	0.17
Calib_Equity_CorrOuter		9	10	0.13
Calib_Equity_CorrOuter		9	11	0.21
Calib_Equity_CorrOuter		9	12	0.21
Calib_Equity_CorrOuter		10	1	0.11
Calib_Equity_CorrOuter		10	2	0.13
Calib_Equity_CorrOuter		10	3	0.15
Calib_Equity_CorrOuter		10	4	0.15
Calib_Equity_CorrOuter		10	5	0.16
Calib_Equity_CorrOuter		10	6	0.21
Calib_Equity_CorrOuter		10	7	0.21
Calib_Equity_CorrOuter		10	8	0.21
Calib_Equity_CorrOuter		10	9	0.13
Calib_Equity_CorrOuter		10	11	0.22
Calib_Equity_CorrOuter		10	12	0.22
Calib_Equity_CorrOuter		11	1	0.19
Calib_Equity_CorrOuter		11	2	0.22
Calib_Equity_CorrOuter		11	3	0.25
Calib_Equity_CorrOuter		11	4	0.24
Calib_Equity_CorrOuter		11	5	0.24
Calib_Equity_CorrOuter		11	6	0.32
Calib_Equity_CorrOuter		11	7	0.34
Calib_Equity_CorrOuter		11	8	0.33
Calib_Equity_CorrOuter		11	9	0.21
Calib_Equity_CorrOuter		11	10	0.22
Calib_Equity_CorrOuter		11	12	0.41
Calib_Equity_CorrOuter		12	1	0.19
Calib_Equity_CorrOuter		12	2	0.22
Calib_Equity_CorrOuter		12	3	0.25
Calib_Equity_CorrOuter		12	4	0.24
Calib_Equity_CorrOuter		12	5	0.24
Calib_Equity_CorrOuter		12	6	0.32
Calib_Equity_CorrOuter		12	7	0.34
Calib_Equity_CorrOuter		12	8	0.33
Calib_Equity_CorrOuter		12	9	0.21
Calib_Equity_CorrOuter		12	10	0.22
Calib_Equity_CorrOuter		12	11	0.41
Calib_Commodity_Weight	1			5.7
Calib_Commodity_Weight	2			7.0
Calib_Commodity_Weight	3			7.0
Calib_Commodity_Weight	4			5.5
Calib_Commodity_Weight	5			8.9
Calib_Commodity_Weight	6			6.6
Calib_Commodity_Weight	7			6.5
Calib_Commodity_Weight	8			13
Calib_Commodity_Weight	9			6.8
Calib_Commodity_Weight	10			13
Calib_Commodity_Weight	11			6.0
Calib_Commodity_Weight	12			5.7
Calib_Commodity_Weight	13			4.9
Calib_Commodity_Weight	14			4.6
Calib_Commodity_Weight	15			3.0
Calib_Commodity_Weight	16			13
Calib_Commodity_Weight	17			4.8
Calib_CommodityVol_HVR				0.73
Calib_CommodityVol_Weight				0.13
Calib_Commodity_Corr	1			0.16
Calib_Commodity_Corr	2			0.98
Calib_Commodity_Corr	3			0.77
Calib_Commodity_Corr	4			0.82
Calib_Commodity_Corr	5			0.98
Calib_Commodity_Corr	6			0.89
Calib_Commodity_Corr	7			0.96
Calib_Commodity_Corr	8			0.48
Calib_Commodity_Corr	9			0.64
Calib_Commodity_Corr	10			0.39
Calib_Commodity_Corr	11			0.45
Calib_Commodity_Corr	12			0.53
Calib_Commodity_Corr	13			0.65
Calib_Commodity_Corr	14			0.12
Calib_Commodity_Corr	15			0.21
Calib_Commodity_Corr	16			0
Calib_Commodity_Corr	17			0.35
Calib_Commodity_CorrOuter		1	2	0.15
Calib_Commodity_CorrOuter		1	3	0.15
Calib_Commodity_CorrOuter		1	4	0.21
Calib_Commodity_CorrOuter		1	5	0.16
Calib_Commodity_CorrOuter		1	6	0.03
Calib_Commodity_CorrOuter		1	7	0.11
Calib_Commodity_CorrOuter		1	8	0.02
Calib_Commodity_CorrOuter		1	9	0.12
Calib_Commodity_CorrOuter		1	10	0.15
Calib_Commodity_CorrOuter		1	11	0.15
Calib_Commodity_CorrOuter		1	12	0.06
Calib_Commodity_CorrOuter		1	13	0.0
Calib_Commodity_CorrOuter		1	14	0.04
Calib_Commodity_CorrOuter		1	15	0.06
Calib_Commodity_CorrOuter		1	16	0
Calib_Commodity_CorrOuter		1	17	0.11
Calib_Commodity_CorrOuter		2	1	0.15
Calib_Commodity_CorrOuter		2	3	0.74
Calib_Commodity_CorrOuter		2	4	0.92
Calib_Commodity_CorrOuter		2	5	0.89
Calib_Commodity_CorrOuter		2	6	0.34
Calib_Commodity_CorrOuter		2	7	0.23
Calib_Commodity_CorrOuter		2	8	0.16
Calib_Commodity_CorrOuter		2	9	0.22
Calib_Commodity_CorrOuter		2	10	0.26
Calib_Commodity_CorrOuter		2	11	0.31
Calib_Commodity_CorrOuter		2	12	0.32
Calib_Commodity_CorrOuter		2	13	0.22
Calib_Commodity_CorrOuter		2	14	0.25
Calib_Commodity_CorrOuter		2	15	0.19
Calib_Commodity_CorrOuter		2	16	0
Calib_Commodity_CorrOuter		2	17	0.57
Calib_Commodity_CorrOuter		3	1	0.15
Calib_Commodity_CorrOuter		3	2	0.74
Calib_Commodity_CorrOuter		3	4	0.73
Calib_Commodity_CorrOuter		3	5	0.69
Calib_Commodity_CorrOuter		3	6	0.15
Calib_Commodity_CorrOuter		3	7	0.22
Calib_Commodity_CorrOuter		3	8	0.08
Calib_Commodity_CorrOuter		3	9	0.14
Calib_Commodity_CorrOuter		3	10	0.16
Calib_Commodity_CorrOuter		3	11	0.21
Calib_Commodity_CorrOuter		3	12	0.15
Calib_Commodity_CorrOuter		3	13	-0.03
Calib_Commodity_CorrOuter		3	14	0.16
Calib_Commodity_CorrOuter		3	15	0.14
Calib_Commodity_CorrOuter		3	16	0
Calib_Commodity_CorrOuter		3	17	0.42
Calib_Commodity_CorrOuter		4	1	0.21
Calib_Commodity_CorrOuter		4	2	0.92
Calib_Commodity_CorrOuter		4	3	0.73
